# 2024-11-02 11:30:01 EET
SGNo	Shmueli
1	PAN$P1A000
2	PAC$I1A000
3	PMN$P2B000
4	PMN$P2B060
5	CMN$P2B000
6	PMN$I2B000
7	PMN$I2B006
8	CMN$I2B000
9	CMN$I2B006
10	PMC$I1A000$P2B000
11	PMC$I1A000$P2B060
12	CMC$I1A000$P2B000
13	PMC$I1A000$P2B006
14	PMC$I1A000$P2B066
15	CMC$I1A000$P2B006
16	PON$P2C000$P2A000
17	PON$P2C006$P2A000
18	PON$P2C000$P2A660
19	PON$P2C606$P2A660
20	CON$P2C006$P2A000
21	CON$P2C000$P2A000
22	FON$P2C000$P2A000
23	ION$P2C000$P2A000
24	ION$P2C606$P2A660
25	PON$P2C000$I2A000
26	PON$P2C006$I2A000
27	PON$P2C000$I2A006
28	PON$P2C000$I2A600
29	PON$P2C006$I2A606
30	PON$P2C000$I2A066
31	PON$P2C606$I2A000
32	PON$P2C000$I2A660
33	PON$P2C006$I2A666
34	PON$P2C000$I2A666
35	CON$P2C000$I2A000
36	CON$P2C006$I2A000
37	CON$P2C000$I2A006
38	AON$P2C000$I2A000
39	AON$P2C000$I2A060
40	AON$P2C000$I2A600
41	AON$P2C000$I2A660
42	FON$P2C000$I2A000
43	FON$P2C000$I2A333
44	ION$P2C000$I2A000
45	ION$P2C000$I2A660
46	ION$P2C000$I2A600
47	POC$I1A000$P2C000$P2A000
48	POC$I1A666$P2C000$P2A000
49	POC$I1A000$P2C000$P2A006
50	POC$I1A660$P2C000$P2A000
51	POC$I1A000$P2C600$P2A600
52	POC$I1A000$P2C600$P2A066
53	POC$I1A000$P2C606$P2A000
54	POC$I1A000$P2C600$P2A606
55	POC$I1A000$P2C000$P2A660
56	POC$I1A000$P2C660$P2A606
57	POC$I1A000$P2C006$P2A060
58	POC$I1A000$P2C000$P2A666
59	POC$I1A660$P2C000$P2A660
60	POC$I1A000$P2C666$P2A660
61	POC$I1A000$P2C606$P2A660
62	POC$I1A000$P2C606$P2A666
63	COC$I1A000$P2C006$P2A000
64	COC$I1A000$P2C066$P2A000
65	COC$I1A000$P2C000$P2A000
66	COC$I1A000$P2C000$P2A006
67	COC$I1A000$P2C060$P2A000
68	COC$I1A066$P2C660$P2A660
69	FOC$I1A000$P2C000$P2A000
70	FOC$I1A333$P2C000$P2A000
71	IOC$I1A000$P2C000$P2A000
72	IOC$I1A000$P2C000$P2A660
73	IOC$I1A000$P2C606$P2A660
74	IOC$I1A000$P2C060$P2A000
75	PTN$P4C000
76	PTN$P4C003
77	PTN$P4C006
78	PTN$P4C009
79	ITN$P4C000
80	ITN$P4C063
81	PTN$I4C000
82	ITN$I4C000
83	PTC$I1A000$P4C000
84	PTC$I1A000$P4C006
85	PTC$I1A660$P4C660
86	PTC$I1A666$P4C666
87	ITC$I1A000$P4C000
88	ITC$I1A063$P4C063
89	PTN$P4C000$P2A000
90	PTN$P4C660$P2A660
91	PTN$P4C003$P2A006
92	PTN$P4C663$P2A669
93	PTN$P4C006$P2A000
94	PTN$P4C666$P2A666
95	PTN$P4C009$P2A006
96	PTN$P4C669$P2A663
97	ITN$P4C000$P2A000
98	ITN$P4C063$P2A063
99	PTN$P4C000$I2A000
100	PTN$P4C000$I2A660
101	PTN$P4C006$I2A006
102	PTN$P4C666$I2A666
103	PTN$P4C000$I2A006
104	PTN$P4C000$I2A666
105	PTN$P4C006$I2A000
106	PTN$P4C006$I2A660
107	ITN$P4C000$I2A000
108	ITN$P4C000$I2A006
109	ITN$P4C063$I2A666
110	ITN$P4C063$I2A660
111	PTN$I4C000$P2A000
112	PTN$I4C000$P2A006
113	PTN$I4C000$P2A660
114	PTN$I4C000$P2A666
115	PTN$I4C000$P2D000
116	PTN$I4C000$P2D006
117	PTN$I4C000$P2D660
118	PTN$I4C000$P2D666
119	ITN$I4C000$P2D000
120	ITN$I4C000$P2D006
121	ITN$I4C000$P2A000
122	ITN$I4C000$P2A609
123	PTC$I1A000$P4C000$P2A000
124	PTC$I1A000$P4C000$P2A006
125	PTC$I1A660$P4C000$P2A000
126	PTC$I1A666$P4C000$P2A000
127	PTC$I1A000$P4C000$P2A660
128	PTC$I1A000$P4C000$P2A666
129	PTC$I1A660$P4C660$P2A660
130	PTC$I1A660$P4C660$P2A666
