# 2024-11-02 11:30:01 EET
N:C	Shmueli
1:2	BAN$P1A000
1:3	CAN$P1A000
1:4	FAN$P1A000
1:5	IAN$P1A000
2:2	BAN$I1A000
2:3	CAN$I1A000
2:4	FAN$I1A000
2:5	IAN$I1A000
48:2	POC$I1A000$P2C660$P2A066
50:2	POC$I1A000$P2C660$P2A060
59:2	POC$I1A000$P2C660$P2A600
68:2	COC$I1A000$P2C600$P2A606
70:2	FOC$I1A000$P2C990$P2A099
85:2	PTC$I1A000$P4C600
86:2	PTC$I1A000$P4C066
88:2	ITC$I1A000$P4C933
125:2	PTC$I1A000$P4C600$P2A060
126:2	PTC$I1A000$P4C600$P2A066
129:2	PTC$I1A000$P4C600$P2A600
130:2	PTC$I1A000$P4C600$P2A606
133:2	PTC$I1A000$P4C606$P2A060
134:2	PTC$I1A000$P4C606$P2A066
137:2	PTC$I1A000$P4C606$P2A600
138:2	PTC$I1A000$P4C606$P2A606
141:2	ITC$I1A000$P4C393$P2A000
142:2	ITC$I1A000$P4C393$P2A006
146:H	RRN$P3C000
146:R	PRN$P3Q000
148:H	RRC$I3C000
148:R	PRC$I3Q000
155:H	RRN$P3C000$P2F000
155:R	PRN$P3Q000$P2E000
160:H	RRN$P3C000$I2F000
160:R	PRN$P3Q000$I2E000
161:H	RRN$P3C000$I2F006
161:R	PRN$P3Q000$I2E666
166:H	RRC$I3C000$P2F000
166:R	PRC$I3Q000$P2E000
167:H	RRC$I3C000$P2F006
167:R	PRC$I3Q000$P2E666
201:2	PCC$I3Q000$P2C660$P2A066
203:2	FCC$I3Q000$P2C330$P2A033
222:2	PCC$I3Q000$P4C600$P2D006
224:2	PCC$I3Q000$P4C066$P2D660
227:2	FCC$I3Q000$P4C693$P2D936
228:2	FCC$I3Q000$P4C093$P2D930
