"ITC No",H-M,n:c,"Univ HM",Hall,Shmueli,Note
1,P1,1,P1,"P 1",PAN$P1A000,
1,A1,1:1,A1,"A 1",AAN$P1A000,"Added by S.G."
1,B1,1:2,B1,"B 1",BAN$P1A000,"Added by S.G."
1,C1,1:3,C1,"C 1",CAN$P1A000,"Added by S.G."
1,F1,1:4,F1,"F 1",FAN$P1A000,"Added by S.G."
1,I1,1:5,I1,"I 1",IAN$P1A000,"Added by S.G."
2,P-1,2,P-1,"-P 1",PAC$I1A000,
2,A-1,2:1,A-1,"-A 1",AAN$I1A000,"Added by S.G."
2,B-1,2:2,B-1,"-B 1",BAN$I1A000,"Added by S.G."
2,C-1,2:3,C-1,"-C 1",CAN$I1A000,"Added by S.G."
2,F-1,2:4,F-1,"-F 1",FAN$I1A000,"Added by S.G."
2,I-1,2:5,I-1,"-I 1",IAN$I1A000,"Added by S.G."
3,P2,3:a,P211,"P 2x",PMN$P2A000,"Added by S.G."
3,P2,3:b,P121,"P 2y",PMN$P2B000,
3,P2,3:c,P112,"P 2",PMN$P2C000,
4,P21,4:a,P2111,"P 2xa",PMN$P2A600,"Added by S.G."
4,P21,4:b,P1211,"P 2yb",PMN$P2B060,
4,P21,4:c,P1121,"P 2c",PMN$P2C006,
5,C2,5:a1,B211,"B 2x",BMN$P2A000,"Shmueli symbol added by S.G."
5,C2,5:a2,C211,"C 2x",CMN$P2A000,"Shmueli symbol added by S.G."
5,C2,5:a3,I211,"I 2x",IMN$P2A000,"Shmueli symbol added by S.G."
5,C2,5:b1,C121,"C 2y",CMN$P2B000,
5,C2,5:b2,A121,"A 2y",AMN$P2B000,
5,C2,5:b3,I121,"I 2y",IMN$P2B000,
5,C2,5:c1,A112,"A 2",AMN$P2C000,
5,C2,5:c2,B112,"B 2",BMN$P2C000,
5,C2,5:c3,I112,"I 2",IMN$P2C000,
6,Pm,6:a,Pm11,"P -2x",PMN$I2A000,"Shmueli symbol added by S.G."
6,Pm,6:b,P1m1,"P -2y",PMN$I2B000,
6,Pm,6:c,P11m,"P -2",PMN$I2C000,
7,Pc,7:a1,Pb11,"P -2xb",PMN$I2A060,"Shmueli symbol added by S.G."
7,Pc,7:a2,Pn11,"P -2xbc",PMN$I2A066,"Shmueli symbol added by S.G."
7,Pc,7:a3,Pc11,"P -2xc",PMN$I2A006,"Shmueli symbol added by S.G."
7,Pc,7:b1,P1c1,"P -2yc",PMN$I2B006,
7,Pc,7:b2,P1n1,"P -2yac",PMN$I2B606,
7,Pc,7:b3,P1a1,"P -2ya",PMN$I2B600,
7,Pc,7:c1,P11a,"P -2a",PMN$I2C600,
7,Pc,7:c2,P11n,"P -2ab",PMN$I2C660,
