ITC No	H-M	HM2005	n:c	Univ HM	UHM2005	Hall	Shmueli	Note
1	P1	P1	1	P1	P1	P 1	PAN$P1A000	
1	A1	A1	1:1	A1	A1	A 1	AAN$P1A000	Added by S.G.
1	B1	B1	1:2	B1	B1	B 1	BAN$P1A000	Added by S.G.
1	C1	C1	1:3	C1	C1	C 1	CAN$P1A000	Added by S.G.
1	F1	F1	1:4	F1	F1	F 1	FAN$P1A000	Added by S.G.
1	I1	I1	1:5	I1	I1	I 1	IAN$P1A000	Added by S.G.
2	P-1	P-1	2	P-1	P-1	-P 1	PAC$I1A000	
2	A-1	A-1	2:1	A-1	A-1	-A 1	AAN$I1A000	Added by S.G.
2	B-1	B-1	2:2	B-1	B-1	-B 1	BAN$I1A000	Added by S.G.
2	C-1	C-1	2:3	C-1	C-1	-C 1	CAN$I1A000	Added by S.G.
2	F-1	F-1	2:4	F-1	F-1	-F 1	FAN$I1A000	Added by S.G.
2	I-1	I-1	2:5	I-1	I-1	-I 1	IAN$I1A000	Added by S.G.
3	P2	P2	3	P121	P121	P 2y	PMN$P2B000	Adding the default setting (S.G.)
3	P2	P2	3:a	P211	P211	P 2x	PMN$P2A000	Added by S.G.
3	P2	P2	3:b	P121	P121	P 2y	PMN$P2B000	
3	P2	P2	3:c	P112	P112	P 2	PMN$P2C000	
4	P21	P21	4	P1211	P1211	P 2yb	PMN$P2B060	Adding the default setting (S.G.)
4	P21	P21	4:a	P2111	P2111	P 2xa	PMN$P2A600	Added by S.G.
4	P21	P21	4:b	P1211	P1211	P 2yb	PMN$P2B060	
4	P21	P21	4:c	P1121	P1121	P 2c	PMN$P2C006	
5	C2	C2	5	C121	C121	C 2y	CMN$P2B000	Adding the default setting (S.G.)
5	C2	C2	5:a1	B211	B211	B 2x	BMN$P2A000	Shmueli symbol added by S.G.
5	C2	C2	5:a2	C211	C211	C 2x	CMN$P2A000	Shmueli symbol added by S.G.
5	C2	C2	5:a3	I211	I211	I 2x	IMN$P2A000	Shmueli symbol added by S.G.
5	C2	C2	5:b1	C121	C121	C 2y	CMN$P2B000	
5	C2	C2	5:b2	A121	A121	A 2y	AMN$P2B000	
5	C2	C2	5:b3	I121	I121	I 2y	IMN$P2B000	
5	C2	C2	5:c1	A112	A112	A 2	AMN$P2C000	
5	C2	C2	5:c2	B112	B112	B 2	BMN$P2C000	
5	C2	C2	5:c3	I112	I112	I 2	IMN$P2C000	
6	Pm	Pm	6	P1m1	P1m1	P -2y	PMN$I2B000	Adding the default setting (S.G.)
6	Pm	Pm	6:a	Pm11	Pm11	P -2x	PMN$I2A000	Shmueli symbol added by S.G.
6	Pm	Pm	6:b	P1m1	P1m1	P -2y	PMN$I2B000	
6	Pm	Pm	6:c	P11m	P11m	P -2	PMN$I2C000	
7	Pc	Pc	7	P1c1	P1c1	P -2yc	PMN$I2B006	Adding the default setting (S.G.)
7	Pc	Pc	7:a1	Pb11	Pb11	P -2xb	PMN$I2A060	Shmueli symbol added by S.G.
7	Pc	Pc	7:a2	Pn11	Pn11	P -2xbc	PMN$I2A066	Shmueli symbol added by S.G.
7	Pc	Pc	7:a3	Pc11	Pc11	P -2xc	PMN$I2A006	Shmueli symbol added by S.G.
7	Pc	Pc	7:b1	P1c1	P1c1	P -2yc	PMN$I2B006	
7	Pc	Pc	7:b2	P1n1	P1n1	P -2yac	PMN$I2B606	
7	Pc	Pc	7:b3	P1a1	P1a1	P -2ya	PMN$I2B600	
7	Pc	Pc	7:c1	P11a	P11a	P -2a	PMN$I2C600	
7	Pc	Pc	7:c2	P11n	P11n	P -2ab	PMN$I2C660	
7	Pc	Pc	7:c3	P11b	P11b	P -2b	PMN$I2C060	
8	Cm	Cm	8	C1m1	C1m1	C -2y	CMN$I2B000	Adding the default setting (S.G.)
8	Cm	Cm	8:a1	Bm11	Bm11	B -2x	BMN$I2A000	Shmueli symbol added by S.G.
8	Cm	Cm	8:a2	Cm11	Cm11	C -2x	CMN$I2A000	Shmueli symbol added by S.G.
8	Cm	Cm	8:a3	Im11	Im11	I -2x	IMN$I2A000	Shmueli symbol added by S.G.
8	Cm	Cm	8:b1	C1m1	C1m1	C -2y	CMN$I2B000	
8	Cm	Cm	8:b2	A1m1	A1m1	A -2y	AMN$I2B000	
8	Cm	Cm	8:b3	I1m1	I1m1	I -2y	IMN$I2B000	
8	Cm	Cm	8:c1	A11m	A11m	A -2	AMN$I2C000	
8	Cm	Cm	8:c2	B11m	B11m	B -2	BMN$I2C000	
8	Cm	Cm	8:c3	I11m	I11m	I -2	IMN$I2C000	
9	Cc	Cc	9	C1c1	C1c1	C -2yc	CMN$I2B006	Adding the default setting (S.G.)
9	Cc	Cc	9:-a1	Cc11	Cc11	C -2xc	CMN$I2A006	Shmueli symbol added by S.G.
9	Cc	Cc	9:-a2	Bn11	Bn11	B -2xab	BMN$I2A660	Shmueli symbol added by S.G.
9	Cc	Cc	9:-a3	Ib11	Ib11	I -2xb	IMN$I2A060	Shmueli symbol added by S.G.
9	Cc	Cc	9:-b1	A1a1	A1a1	A -2ya	AMN$I2B600	Shmueli symbol added by S.G.
9	Cc	Cc	9:-b2	C1n1	C1n1	C -2yac	CMN$I2B606	Shmueli symbol added by S.G.
9	Cc	Cc	9:-b3	I1c1	I1c1	I -2yc	IMN$I2B006	Shmueli symbol added by S.G.
9	Cc	Cc	9:-c1	B11b	B11b	B -2b	BMN$I2C060	Shmueli symbol added by S.G.
9	Cc	Cc	9:-c2	A11n	A11n	A -2ab	AMN$I2C660	Shmueli symbol added by S.G.
9	Cc	Cc	9:-c3	I11a	I11a	I -2a	IMN$I2C600	Shmueli symbol added by S.G.
9	Cc	Cc	9:a1	Bb11	Bb11	B -2xb	BMN$I2A060	Shmueli symbol added by S.G.
9	Cc	Cc	9:a2	Cn11	Cn11	C -2xac	CMN$I2A606	Shmueli symbol added by S.G.
9	Cc	Cc	9:a3	Ic11	Ic11	I -2xc	IMN$I2A006	Shmueli symbol added by S.G.
9	Cc	Cc	9:b1	C1c1	C1c1	C -2yc	CMN$I2B006	
9	Cc	Cc	9:b2	A1n1	A1n1	A -2yab	AMN$I2B606	
9	Cc	Cc	9:b3	I1a1	I1a1	I -2ya	IMN$I2B600	
9	Cc	Cc	9:c1	A11a	A11a	A -2a	AMN$I2C600	
9	Cc	Cc	9:c2	B11n	B11n	B -2ab	BMN$I2C660	
9	Cc	Cc	9:c3	I11b	I11b	I -2b	IMN$I2C060	
10	P2/m	P2/m	10	P12/m1	P12/m1	-P 2y	PMC$I1A000$P2B000	Adding the default setting (S.G.)
10	P2/m	P2/m	10:a	P2/m11	P2/m11	-P 2x	PMC$I1A000$P2A000	Shmueli symbol added by S.G.
10	P2/m	P2/m	10:b	P12/m1	P12/m1	-P 2y	PMC$I1A000$P2B000	
